Frequency (Hz)	Level (dB)
21.533203	-29.934944
43.066406	-23.167437
64.599609	-21.968290
86.132812	-23.738832
107.666016	-22.930687
129.199219	-20.327272
150.732422	-19.721867
172.265625	-17.399746
193.798828	-18.400799
215.332031	-22.550039
236.865234	-25.337509
258.398438	-26.999825
279.931641	-29.000780
301.464844	-30.316805
322.998047	-33.029770
344.531250	-34.869228
366.064453	-32.528049
387.597656	-33.426922
409.130859	-36.130188
430.664062	-37.992172
452.197266	-40.029041
473.730469	-40.035721
495.263672	-38.675327
516.796875	-38.542358
538.330078	-40.272522
559.863281	-41.243984
581.396484	-41.517204
602.929688	-40.946259
624.462891	-40.161121
645.996094	-40.053017
667.529297	-40.051823
689.062500	-39.038445
710.595703	-39.259842
732.128906	-40.186752
753.662109	-39.843018
775.195312	-39.666550
796.728516	-39.702465
818.261719	-40.242104
839.794922	-40.151962
861.328125	-39.638317
882.861328	-40.327084
904.394531	-40.904541
925.927734	-40.517895
947.460938	-40.893387
968.994141	-40.805096
990.527344	-40.016201
1012.060547	-40.410313
1033.593750	-40.884258
1055.126953	-41.671768
1076.660156	-41.537132
1098.193359	-41.060593
1119.726562	-41.797134
1141.259766	-43.105751
1162.792969	-43.365810
1184.326172	-43.695534
1205.859375	-45.275925
1227.392578	-45.177299
1248.925781	-44.068073
1270.458984	-43.702244
1291.992188	-43.767078
1313.525391	-43.707794
1335.058594	-42.170067
1356.591797	-41.274876
1378.125000	-42.751820
1399.658203	-43.833405
1421.191406	-45.131866
1442.724609	-45.235256
1464.257812	-45.823967
1485.791016	-46.026203
1507.324219	-45.672947
1528.857422	-45.135281
1550.390625	-45.786297
1571.923828	-46.890099
1593.457031	-46.423542
1614.990234	-45.867680
1636.523438	-45.653736
1658.056641	-46.022682
1679.589844	-46.072124
1701.123047	-46.165009
1722.656250	-45.937328
1744.189453	-45.790058
1765.722656	-45.845119
1787.255859	-45.980385
1808.789062	-45.607082
1830.322266	-44.912125
1851.855469	-44.348511
1873.388672	-44.169426
1894.921875	-45.798798
1916.455078	-47.172501
1937.988281	-47.633598
1959.521484	-48.040428
1981.054688	-48.293201
2002.587891	-48.622818
2024.121094	-48.062096
2045.654297	-48.425991
2067.187500	-48.808041
2088.720703	-47.903934
2110.253906	-47.894405
2131.787109	-46.594776
2153.320312	-46.748253
2174.853516	-48.647099
2196.386719	-49.752060
2217.919922	-49.147804
2239.453125	-49.145687
2260.986328	-48.565315
2282.519531	-48.293289
2304.052734	-47.579247
2325.585938	-47.212719
2347.119141	-48.655487
2368.652344	-47.521400
2390.185547	-46.252552
2411.718750	-46.986847
2433.251953	-48.030697
2454.785156	-48.902847
2476.318359	-49.364532
2497.851562	-49.265881
2519.384766	-49.784622
2540.917969	-50.118607
2562.451172	-50.391140
2583.984375	-50.320576
2605.517578	-50.209206
2627.050781	-50.678211
2648.583984	-51.430515
2670.117188	-50.832050
2691.650391	-50.367336
2713.183594	-50.440933
2734.716797	-50.302151
2756.250000	-49.627674
2777.783203	-50.015678
2799.316406	-49.839401
2820.849609	-49.090897
2842.382812	-50.111443
2863.916016	-50.717957
2885.449219	-50.603455
2906.982422	-51.458546
2928.515625	-51.460499
2950.048828	-50.116295
2971.582031	-50.673264
2993.115234	-51.244350
3014.648438	-49.984066
3036.181641	-50.432137
3057.714844	-51.815598
3079.248047	-49.819195
3100.781250	-50.186432
3122.314453	-52.033676
3143.847656	-52.556736
3165.380859	-52.654675
3186.914062	-49.974941
3208.447266	-49.215614
3229.980469	-50.166332
3251.513672	-50.280663
3273.046875	-50.984325
3294.580078	-50.178879
3316.113281	-50.405987
3337.646484	-50.260834
3359.179688	-50.464314
3380.712891	-50.875294
3402.246094	-51.310989
3423.779297	-51.276554
3445.312500	-50.831463
3466.845703	-51.559845
3488.378906	-52.921333
3509.912109	-53.383617
3531.445312	-53.276375
3552.978516	-53.714222
3574.511719	-53.095329
3596.044922	-53.965530
3617.578125	-53.811607
3639.111328	-53.670807
3660.644531	-54.043362
3682.177734	-54.032566
3703.710938	-53.106281
3725.244141	-53.394238
3746.777344	-55.178986
3768.310547	-55.466511
3789.843750	-54.474140
3811.376953	-54.331287
3832.910156	-55.007668
3854.443359	-54.660172
3875.976562	-55.879333
3897.509766	-55.429493
3919.042969	-55.386826
3940.576172	-55.285297
3962.109375	-55.134373
3983.642578	-55.283550
4005.175781	-55.100784
4026.708984	-53.752613
4048.242188	-53.903484
4069.775391	-53.353001
4091.308594	-53.432808
4112.841797	-54.214855
4134.375000	-54.562790
4155.908203	-53.809025
4177.441406	-53.950413
4198.974609	-55.332333
4220.507812	-53.879326
4242.041016	-54.637985
4263.574219	-55.448776
4285.107422	-56.467445
4306.640625	-56.344242
4328.173828	-55.860641
4349.707031	-56.168076
4371.240234	-55.576019
4392.773438	-54.984432
4414.306641	-54.688152
4435.839844	-55.230354
4457.373047	-55.215332
4478.906250	-55.093357
4500.439453	-54.559532
4521.972656	-54.961983
4543.505859	-56.282509
4565.039062	-57.051838
4586.572266	-56.607525
4608.105469	-55.891335
4629.638672	-56.734192
4651.171875	-57.517590
4672.705078	-57.163757
4694.238281	-56.852863
4715.771484	-57.883682
4737.304688	-57.207325
4758.837891	-56.736259
4780.371094	-57.343136
4801.904297	-57.093723
4823.437500	-57.222157
4844.970703	-57.187183
4866.503906	-57.003307
4888.037109	-57.603867
4909.570312	-58.533440
4931.103516	-58.359055
4952.636719	-59.108536
4974.169922	-58.448235
4995.703125	-57.855759
5017.236328	-58.696297
5038.769531	-58.860840
5060.302734	-58.747116
5081.835938	-57.701450
5103.369141	-57.895065
5124.902344	-58.214642
5146.435547	-58.330845
5167.968750	-57.986439
5189.501953	-58.243927
5211.035156	-58.635918
5232.568359	-59.446346
5254.101562	-59.144375
5275.634766	-58.871632
5297.167969	-59.199284
5318.701172	-59.128979
5340.234375	-58.440937
5361.767578	-58.029720
5383.300781	-57.358803
5404.833984	-58.470615
5426.367188	-59.472023
5447.900391	-58.972820
5469.433594	-58.899239
5490.966797	-59.418579
5512.500000	-59.530235
5534.033203	-59.256958
5555.566406	-59.258209
5577.099609	-59.880733
5598.632812	-59.898426
5620.166016	-59.608871
5641.699219	-59.332310
5663.232422	-58.216850
5684.765625	-58.711262
5706.298828	-60.271904
5727.832031	-60.806313
5749.365234	-59.600475
5770.898438	-58.541992
5792.431641	-59.521427
5813.964844	-60.174355
5835.498047	-59.678425
5857.031250	-60.083229
5878.564453	-59.540165
5900.097656	-58.662685
5921.630859	-57.941181
5943.164062	-57.106186
5964.697266	-58.662170
5986.230469	-59.161526
6007.763672	-58.793991
6029.296875	-58.921490
6050.830078	-59.116207
6072.363281	-59.290230
6093.896484	-58.862732
6115.429688	-58.925083
6136.962891	-58.877998
6158.496094	-58.045929
6180.029297	-57.159027
6201.562500	-57.242214
6223.095703	-58.036484
6244.628906	-57.893509
6266.162109	-57.303005
6287.695312	-58.316067
6309.228516	-60.154961
6330.761719	-60.515827
6352.294922	-60.547653
6373.828125	-60.323532
6395.361328	-60.575924
6416.894531	-60.446968
6438.427734	-61.032669
6459.960938	-60.833843
6481.494141	-60.517471
6503.027344	-60.032238
6524.560547	-59.692726
6546.093750	-60.625721
6567.626953	-61.063869
6589.160156	-61.296566
6610.693359	-61.309525
6632.226562	-60.559933
6653.759766	-60.521481
6675.292969	-59.491699
6696.826172	-60.392223
6718.359375	-61.189983
6739.892578	-61.073036
6761.425781	-60.833248
6782.958984	-60.251633
6804.492188	-59.469009
6826.025391	-58.472389
6847.558594	-58.205448
6869.091797	-59.189148
6890.625000	-59.501553
6912.158203	-59.115681
6933.691406	-59.097706
6955.224609	-59.349461
6976.757812	-60.111168
6998.291016	-58.934994
7019.824219	-58.050568
7041.357422	-58.009766
7062.890625	-59.095085
7084.423828	-60.435837
7105.957031	-60.688633
7127.490234	-60.284065
7149.023438	-60.170120
7170.556641	-59.942314
7192.089844	-60.864616
7213.623047	-60.724201
7235.156250	-60.473537
7256.689453	-61.345264
7278.222656	-60.579178
7299.755859	-60.182579
7321.289062	-60.135632
7342.822266	-60.447170
7364.355469	-60.653622
7385.888672	-60.749210
7407.421875	-60.075703
7428.955078	-58.503811
7450.488281	-58.467976
7472.021484	-59.771797
7493.554688	-60.285732
7515.087891	-59.890186
7536.621094	-59.648952
7558.154297	-60.180080
7579.687500	-59.196148
7601.220703	-57.535290
7622.753906	-57.408691
7644.287109	-58.692806
7665.820312	-58.680073
7687.353516	-58.086826
7708.886719	-57.714031
7730.419922	-57.463055
7751.953125	-57.559361
7773.486328	-58.235802
7795.019531	-57.773079
7816.552734	-58.474789
7838.085938	-59.381596
7859.619141	-59.296047
7881.152344	-58.873978
7902.685547	-58.499596
7924.218750	-58.675461
7945.751953	-58.717815
7967.285156	-58.907616
7988.818359	-59.303940
8010.351562	-57.746067
