Frequency (Hz)	Level (dB)
21.533203	-34.294266
43.066406	-31.392771
64.599609	-29.902302
86.132812	-28.932537
107.666016	-29.042049
129.199219	-29.889046
150.732422	-30.619112
172.265625	-31.997797
193.798828	-33.174103
215.332031	-32.861012
236.865234	-32.327995
258.398438	-33.601627
279.931641	-34.641571
301.464844	-35.568333
322.998047	-36.847900
344.531250	-36.789261
366.064453	-37.599751
387.597656	-38.539970
409.130859	-38.921860
430.664062	-37.459660
452.197266	-36.289490
473.730469	-37.755135
495.263672	-38.047047
516.796875	-38.649704
538.330078	-38.976376
559.863281	-38.616840
581.396484	-38.973434
602.929688	-40.108437
624.462891	-40.558685
645.996094	-41.403881
667.529297	-41.168884
689.062500	-40.454605
710.595703	-40.365730
732.128906	-39.494778
753.662109	-39.646965
775.195312	-40.495434
796.728516	-39.511993
818.261719	-40.966854
839.794922	-42.947865
861.328125	-44.262177
882.861328	-44.839787
904.394531	-45.870415
925.927734	-47.307503
947.460938	-47.348862
968.994141	-47.583469
990.527344	-47.744652
1012.060547	-47.871414
1033.593750	-48.556507
1055.126953	-48.483418
1076.660156	-48.423088
1098.193359	-48.792141
1119.726562	-49.522015
1141.259766	-49.791687
1162.792969	-50.625034
1184.326172	-50.484188
1205.859375	-50.526592
1227.392578	-50.791210
1248.925781	-50.664841
1270.458984	-50.898144
1291.992188	-51.325104
1313.525391	-51.840927
1335.058594	-52.015316
1356.591797	-51.547066
1378.125000	-51.360489
1399.658203	-51.329906
1421.191406	-51.628544
1442.724609	-51.108280
1464.257812	-51.075733
1485.791016	-51.581196
1507.324219	-51.752769
1528.857422	-52.414967
1550.390625	-52.643192
1571.923828	-52.814877
1593.457031	-52.995667
1614.990234	-53.074211
1636.523438	-52.422859
1658.056641	-51.729897
1679.589844	-52.785503
1701.123047	-54.174301
1722.656250	-55.214283
1744.189453	-55.138817
1765.722656	-55.061092
1787.255859	-54.900764
1808.789062	-54.681744
1830.322266	-53.287750
1851.855469	-53.016678
1873.388672	-54.948002
1894.921875	-56.429020
1916.455078	-57.159687
1937.988281	-57.270378
1959.521484	-57.634010
1981.054688	-58.018356
2002.587891	-57.690208
2024.121094	-57.550549
2045.654297	-57.990932
2067.187500	-57.955685
2088.720703	-57.054882
2110.253906	-55.621365
2131.787109	-56.907803
2153.320312	-57.889309
2174.853516	-57.951809
2196.386719	-57.851292
2217.919922	-57.620842
2239.453125	-58.068058
2260.986328	-58.513809
2282.519531	-58.660046
2304.052734	-58.950367
2325.585938	-59.105442
2347.119141	-59.415028
2368.652344	-60.104767
2390.185547	-60.651596
2411.718750	-60.767941
2433.251953	-61.206158
2454.785156	-61.369785
2476.318359	-61.904774
2497.851562	-61.982853
