Frequency (Hz)	Level (dB)
21.533203	-29.996693
43.066406	-25.194643
64.599609	-26.389296
86.132812	-29.258528
107.666016	-31.610754
129.199219	-33.665997
150.732422	-36.221508
172.265625	-31.573093
193.798828	-26.017561
215.332031	-27.265791
236.865234	-34.101913
258.398438	-39.854828
279.931641	-42.732021
301.464844	-46.769222
322.998047	-49.893806
344.531250	-51.128452
366.064453	-45.764050
387.597656	-38.107437
409.130859	-35.475403
430.664062	-39.125679
452.197266	-47.227993
473.730469	-54.213909
495.263672	-57.434700
516.796875	-57.371582
538.330078	-56.410385
559.863281	-51.560596
581.396484	-45.379799
602.929688	-43.021927
624.462891	-45.322662
645.996094	-48.837402
667.529297	-53.438763
689.062500	-54.884193
710.595703	-56.241920
732.128906	-55.890110
753.662109	-51.799824
775.195312	-47.114288
796.728516	-46.480598
818.261719	-47.745705
839.794922	-49.290096
861.328125	-52.129196
882.861328	-53.745491
904.394531	-56.252659
925.927734	-58.031452
947.460938	-57.658669
968.994141	-55.717953
990.527344	-55.600975
1012.060547	-55.471680
1033.593750	-55.566734
1055.126953	-56.484386
1076.660156	-58.517162
1098.193359	-59.339111
1119.726562	-59.384388
1141.259766	-58.993092
1162.792969	-58.680714
1184.326172	-57.367352
1205.859375	-57.694782
1227.392578	-59.556614
1248.925781	-59.723209
1270.458984	-60.447643
1291.992188	-60.383022
1313.525391	-57.813442
1335.058594	-55.514980
1356.591797	-57.708549
1378.125000	-60.192440
1399.658203	-60.558929
1421.191406	-59.048626
1442.724609	-56.581669
1464.257812	-55.139042
1485.791016	-55.815575
1507.324219	-58.184612
1528.857422	-57.631977
1550.390625	-56.495716
1571.923828	-55.738171
1593.457031	-55.832932
1614.990234	-56.402458
1636.523438	-56.051739
1658.056641	-57.268429
1679.589844	-58.135014
1701.123047	-57.270725
1722.656250	-58.854900
1744.189453	-60.700748
1765.722656	-60.137306
1787.255859	-57.262207
1808.789062	-58.358742
1830.322266	-60.391624
1851.855469	-59.278053
1873.388672	-58.597961
1894.921875	-57.981499
1916.455078	-59.969055
1937.988281	-61.237381
1959.521484	-60.802921
1981.054688	-59.893658
2002.587891	-59.974915
2024.121094	-60.620106
2045.654297	-60.153442
2067.187500	-60.201336
2088.720703	-60.534485
2110.253906	-61.541676
2131.787109	-61.489613
2153.320312	-61.018162
2174.853516	-61.426956
2196.386719	-62.132114
2217.919922	-61.906250
2239.453125	-62.133438
2260.986328	-62.117786
2282.519531	-62.083916
2304.052734	-61.921795
2325.585938	-61.713791
2347.119141	-60.892937
2368.652344	-60.581249
2390.185547	-61.194904
2411.718750	-60.612659
2433.251953	-61.485470
2454.785156	-61.390224
2476.318359	-60.823296
2497.851562	-61.357628
2519.384766	-62.703659
2540.917969	-62.526295
2562.451172	-61.797878
2583.984375	-61.685371
2605.517578	-60.814251
2627.050781	-60.203014
2648.583984	-61.843330
