Frequency (Hz)	Level (dB)
23.437500	-30.190840
46.875000	-27.176907
70.312500	-27.757437
93.750000	-30.574520
117.187500	-33.797665
140.625000	-35.767555
164.062500	-37.170021
187.500000	-37.793865
210.937500	-38.268833
234.375000	-37.692314
257.812500	-37.666729
281.250000	-40.035812
304.687500	-41.378658
328.125000	-42.450089
351.562500	-43.054905
375.000000	-44.076298
398.437500	-44.877693
421.875000	-45.808468
445.312500	-46.727592
468.750000	-47.359497
492.187500	-47.749500
515.625000	-47.512852
539.062500	-47.038448
562.500000	-47.949772
585.937500	-48.409832
609.375000	-48.774239
632.812500	-48.466930
656.250000	-48.136063
679.687500	-47.353634
703.125000	-45.806152
726.562500	-45.670757
750.000000	-43.647976
773.437500	-44.874828
796.875000	-43.762798
820.312500	-41.777088
843.750000	-45.437450
867.187500	-47.114170
890.625000	-48.552246
914.062500	-49.833965
937.500000	-48.529537
960.937500	-47.815086
984.375000	-49.251759
1007.812500	-49.798458
1031.250000	-50.403114
1054.687500	-50.587517
1078.125000	-50.683990
1101.562500	-50.511276
1125.000000	-50.471844
1148.437500	-50.136295
1171.875000	-50.042408
1195.312500	-49.919754
1218.750000	-49.886189
1242.187500	-50.402508
1265.625000	-50.689491
1289.062500	-50.455692
1312.500000	-50.574867
1335.937500	-49.970814
1359.375000	-48.620285
1382.812500	-47.713871
1406.250000	-49.831375
1429.687500	-49.783131
1453.125000	-49.521015
1476.562500	-50.571621
1500.000000	-52.121696
1523.437500	-52.588024
1546.875000	-52.650467
1570.312500	-52.176773
1593.750000	-51.846096
1617.187500	-52.613964
1640.625000	-53.425488
1664.062500	-53.738506
1687.500000	-53.907341
1710.937500	-54.086704
1734.375000	-54.219837
1757.812500	-54.086075
1781.250000	-54.294708
1804.687500	-54.160812
1828.125000	-54.016716
1851.562500	-54.801529
1875.000000	-55.063683
1898.437500	-54.371563
1921.875000	-53.338219
1945.312500	-53.725574
1968.750000	-55.083691
1992.187500	-54.460918
2015.625000	-53.551510
2039.062500	-52.144482
2062.500000	-52.950687
2085.937500	-54.470150
2109.375000	-55.734425
2132.812500	-56.214870
2156.250000	-56.197990
2179.687500	-55.401394
2203.125000	-54.642090
2226.562500	-55.193836
2250.000000	-55.067921
2273.437500	-54.987617
2296.875000	-53.318932
2320.312500	-52.657024
2343.750000	-54.868862
2367.187500	-56.683319
2390.625000	-57.301327
2414.062500	-57.401005
2437.500000	-57.250645
2460.937500	-57.298031
2484.375000	-57.429470
2507.812500	-56.898579
2531.250000	-55.042225
2554.687500	-53.676731
2578.125000	-53.507538
2601.562500	-53.533077
2625.000000	-51.801075
2648.437500	-54.276672
