Frequency (Hz)	Level (dB)
21.533203	-39.239040
43.066406	-35.967884
64.599609	-35.193279
86.132812	-36.793015
107.666016	-39.824020
129.199219	-40.544167
150.732422	-38.380608
172.265625	-29.840532
193.798828	-21.886162
215.332031	-19.520159
236.865234	-22.469700
258.398438	-28.250347
279.931641	-33.789845
301.464844	-39.096790
322.998047	-42.438118
344.531250	-39.799488
366.064453	-36.298359
387.597656	-30.514261
409.130859	-27.092035
430.664062	-25.219025
452.197266	-25.852720
473.730469	-30.617310
495.263672	-36.167843
516.796875	-40.811375
538.330078	-41.272682
559.863281	-40.727467
581.396484	-36.395294
602.929688	-31.175522
624.462891	-31.487228
645.996094	-33.604736
667.529297	-33.861046
689.062500	-35.933716
710.595703	-40.463840
732.128906	-42.083809
753.662109	-42.813881
775.195312	-41.994946
796.728516	-39.868279
818.261719	-40.669380
839.794922	-44.654594
861.328125	-45.073631
882.861328	-42.827045
904.394531	-43.975857
925.927734	-49.209026
947.460938	-49.551876
968.994141	-48.864914
990.527344	-47.641731
1012.060547	-47.634838
1033.593750	-46.740398
1055.126953	-45.009171
1076.660156	-45.983746
1098.193359	-46.251911
1119.726562	-45.374962
1141.259766	-46.248352
1162.792969	-48.692303
1184.326172	-48.680454
1205.859375	-48.877285
1227.392578	-49.822556
1248.925781	-47.651821
1270.458984	-46.377228
1291.992188	-47.464062
1313.525391	-48.472031
1335.058594	-49.097374
1356.591797	-50.344990
1378.125000	-51.305862
1399.658203	-48.603691
1421.191406	-46.156982
1442.724609	-47.845413
1464.257812	-47.714344
1485.791016	-47.266369
1507.324219	-47.667038
1528.857422	-47.904522
1550.390625	-46.125847
1571.923828	-45.392387
1593.457031	-45.781425
1614.990234	-46.294189
1636.523438	-46.857880
1658.056641	-45.837620
1679.589844	-45.019444
1701.123047	-45.509697
1722.656250	-45.926643
1744.189453	-46.350983
1765.722656	-43.028534
1787.255859	-41.391182
1808.789062	-43.971710
1830.322266	-47.469193
1851.855469	-47.786423
1873.388672	-48.019722
1894.921875	-46.470295
1916.455078	-48.183632
1937.988281	-48.883324
1959.521484	-49.251465
1981.054688	-49.392422
2002.587891	-49.276260
2024.121094	-49.215382
2045.654297	-49.783577
2067.187500	-50.415329
2088.720703	-51.746696
2110.253906	-53.558434
2131.787109	-53.841293
2153.320312	-54.352444
2174.853516	-55.246048
2196.386719	-55.720661
2217.919922	-55.799637
2239.453125	-55.148716
2260.986328	-55.360592
2282.519531	-53.736519
2304.052734	-51.657852
2325.585938	-51.850441
2347.119141	-53.283249
2368.652344	-53.477280
2390.185547	-54.277191
2411.718750	-56.541668
2433.251953	-58.096561
2454.785156	-58.643490
2476.318359	-58.120861
2497.851562	-57.767597
2519.384766	-58.206154
2540.917969	-58.771217
2562.451172	-58.141323
2583.984375	-56.902569
2605.517578	-57.299294
2627.050781	-57.257401
2648.583984	-56.585087
2670.117188	-55.866596
2691.650391	-55.761860
2713.183594	-56.046124
2734.716797	-56.169399
2756.250000	-55.987942
2777.783203	-55.865822
2799.316406	-54.967361
2820.849609	-54.690506
2842.382812	-53.897644
2863.916016	-52.192467
2885.449219	-51.634598
2906.982422	-51.428551
2928.515625	-51.905888
2950.048828	-52.021488
2971.582031	-51.022480
2993.115234	-51.776386
3014.648438	-53.290436
3036.181641	-52.801731
3057.714844	-52.582687
3079.248047	-52.475246
3100.781250	-52.853687
3122.314453	-52.853931
3143.847656	-52.994350
3165.380859	-54.211555
3186.914062	-56.139713
3208.447266	-56.253326
3229.980469	-56.716320
3251.513672	-56.539379
3273.046875	-56.625267
3294.580078	-57.397259
3316.113281	-58.257877
3337.646484	-57.573730
3359.179688	-56.693504
3380.712891	-57.576694
3402.246094	-58.238487
3423.779297	-59.072754
3445.312500	-58.290508
3466.845703	-57.358959
3488.378906	-56.984818
3509.912109	-56.590996
3531.445312	-56.167942
3552.978516	-55.924061
3574.511719	-56.975552
3596.044922	-57.569218
3617.578125	-57.115501
3639.111328	-57.122650
3660.644531	-55.354568
3682.177734	-54.947693
3703.710938	-53.972733
3725.244141	-53.020390
3746.777344	-53.830467
3768.310547	-53.616158
3789.843750	-52.630871
3811.376953	-50.275112
3832.910156	-51.084602
3854.443359	-53.190350
3875.976562	-53.678757
3897.509766	-53.653275
3919.042969	-53.112312
3940.576172	-53.808578
3962.109375	-53.371006
3983.642578	-53.086227
4005.175781	-53.540348
4026.708984	-52.671932
4048.242188	-52.268650
4069.775391	-52.677841
4091.308594	-54.279259
4112.841797	-54.997616
4134.375000	-55.162994
4155.908203	-55.605129
4177.441406	-55.755440
4198.974609	-56.752556
4220.507812	-57.586121
4242.041016	-57.964882
4263.574219	-57.606632
4285.107422	-56.692234
4306.640625	-55.918549
4328.173828	-55.832714
4349.707031	-56.710194
4371.240234	-57.615894
4392.773438	-58.152103
4414.306641	-57.821114
4435.839844	-57.281399
4457.373047	-56.925407
4478.906250	-56.269463
4500.439453	-56.626389
4521.972656	-56.817959
4543.505859	-57.312370
4565.039062	-57.534866
4586.572266	-57.612949
4608.105469	-56.727314
4629.638672	-57.022820
4651.171875	-57.565102
4672.705078	-56.879398
4694.238281	-56.740345
4715.771484	-56.936600
4737.304688	-56.398827
4758.837891	-56.201756
4780.371094	-55.988266
4801.904297	-55.964115
4823.437500	-56.484772
4844.970703	-56.817722
4866.503906	-56.191914
4888.037109	-55.756557
4909.570312	-55.527622
4931.103516	-55.755119
4952.636719	-55.256588
4974.169922	-54.300587
4995.703125	-53.728920
5017.236328	-52.909935
5038.769531	-53.097462
5060.302734	-53.353321
5081.835938	-53.188488
5103.369141	-52.854095
5124.902344	-52.911957
5146.435547	-53.463440
5167.968750	-53.569138
5189.501953	-53.438847
5211.035156	-53.120682
5232.568359	-54.287842
5254.101562	-54.741291
