Frequency (Hz)	Level (dB)
23.437500	-34.521961
46.875000	-30.898457
70.312500	-29.452120
93.750000	-32.226570
117.187500	-34.536732
140.625000	-31.938990
164.062500	-27.011745
187.500000	-19.139259
210.937500	-16.009363
234.375000	-17.977396
257.812500	-23.171726
281.250000	-28.635992
304.687500	-33.484848
328.125000	-35.298260
351.562500	-32.446194
375.000000	-27.890535
398.437500	-23.367985
421.875000	-21.068493
445.312500	-20.965128
468.750000	-23.231686
492.187500	-25.020367
515.625000	-26.224188
539.062500	-30.086941
562.500000	-29.657671
585.937500	-28.622845
609.375000	-26.467072
632.812500	-27.863029
656.250000	-30.586737
679.687500	-32.389263
703.125000	-36.112743
726.562500	-36.919754
750.000000	-35.336010
773.437500	-35.000973
796.875000	-33.363037
820.312500	-32.374802
843.750000	-33.112652
867.187500	-33.918854
890.625000	-33.536354
914.062500	-34.294220
937.500000	-35.605301
960.937500	-36.894081
984.375000	-37.619507
1007.812500	-35.445549
1031.250000	-33.713356
1054.687500	-34.942551
1078.125000	-37.117462
1101.562500	-38.296875
1125.000000	-39.135540
1148.437500	-40.158291
1171.875000	-40.732288
1195.312500	-39.891613
1218.750000	-38.682419
1242.187500	-37.550507
1265.625000	-39.253174
1289.062500	-40.538567
1312.500000	-41.776997
1335.937500	-43.447735
1359.375000	-44.325916
1382.812500	-45.146790
1406.250000	-43.635956
1429.687500	-41.727749
1453.125000	-42.091949
1476.562500	-43.874184
1500.000000	-45.685921
1523.437500	-46.341202
1546.875000	-44.179996
1570.312500	-43.054028
1593.750000	-43.023884
1617.187500	-42.438576
1640.625000	-42.163017
1664.062500	-41.428867
1687.500000	-41.291874
1710.937500	-42.075996
1734.375000	-42.799786
1757.812500	-39.953842
1781.250000	-37.487011
1804.687500	-38.388248
1828.125000	-39.809765
1851.562500	-39.873165
1875.000000	-40.214272
1898.437500	-39.679359
1921.875000	-39.515934
1945.312500	-39.371861
1968.750000	-40.732792
1992.187500	-41.002750
2015.625000	-41.761196
2039.062500	-42.144226
2062.500000	-43.219711
2085.937500	-44.296528
2109.375000	-44.444820
2132.812500	-46.663704
2156.250000	-47.902760
2179.687500	-48.289978
2203.125000	-47.442707
2226.562500	-47.610065
2250.000000	-48.206837
2273.437500	-48.276817
2296.875000	-45.419147
2320.312500	-43.820988
2343.750000	-44.260654
2367.187500	-45.877678
2390.625000	-44.744572
2414.062500	-42.804874
2437.500000	-43.535957
2460.937500	-45.466717
2484.375000	-41.096325
2507.812500	-40.260803
2531.250000	-41.292301
2554.687500	-42.687634
2578.125000	-42.875401
2601.562500	-41.587238
2625.000000	-40.781963
2648.437500	-40.671074
2671.875000	-41.820045
2695.312500	-42.650677
2718.750000	-42.902794
2742.187500	-43.676239
2765.625000	-44.567471
2789.062500	-44.916355
2812.500000	-44.206188
2835.937500	-43.644814
2859.375000	-42.260643
2882.812500	-42.039558
2906.250000	-41.997047
2929.687500	-41.646381
2953.125000	-41.859554
2976.562500	-43.519535
3000.000000	-43.142632
3023.437500	-41.844307
3046.875000	-40.899929
3070.312500	-41.759907
3093.750000	-43.657635
3117.187500	-44.616985
3140.625000	-44.984852
3164.062500	-45.719944
3187.500000	-46.672779
3210.937500	-47.791733
3234.375000	-47.354458
3257.812500	-46.874977
3281.250000	-47.801121
3304.687500	-48.529720
3328.125000	-48.579254
3351.562500	-48.201366
3375.000000	-47.454197
3398.437500	-46.297459
3421.875000	-46.309235
3445.312500	-47.626804
3468.750000	-49.916958
3492.187500	-50.887264
3515.625000	-51.258682
3539.062500	-51.091911
3562.500000	-50.898067
3585.937500	-50.831207
3609.375000	-50.729794
3632.812500	-49.902184
3656.250000	-49.573463
3679.687500	-49.100994
3703.125000	-48.299442
3726.562500	-48.059517
3750.000000	-48.549255
3773.437500	-49.340462
3796.875000	-47.722961
3820.312500	-46.520908
3843.750000	-47.761532
3867.187500	-48.478909
3890.625000	-48.537682
3914.062500	-48.102413
3937.500000	-48.081757
3960.937500	-48.420422
3984.375000	-48.041504
4007.812500	-48.075371
4031.250000	-47.317772
4054.687500	-46.967213
4078.125000	-47.364975
4101.562500	-48.258961
4125.000000	-48.644878
4148.437500	-48.499405
4171.875000	-49.002861
4195.312500	-49.558414
4218.750000	-49.614605
4242.187500	-50.102531
4265.625000	-50.329895
4289.062500	-49.699100
4312.500000	-49.835373
4335.937500	-50.599903
4359.375000	-51.063637
4382.812500	-51.051441
4406.250000	-51.400658
4429.687500	-51.711887
4453.125000	-51.459583
4476.562500	-50.651260
4500.000000	-51.037880
4523.437500	-51.635746
4546.875000	-51.924076
4570.312500	-51.668079
4593.750000	-51.434052
4617.187500	-50.583927
4640.625000	-49.656097
4664.062500	-48.342251
4687.500000	-47.957092
4710.937500	-47.792107
4734.375000	-46.981159
4757.812500	-46.214027
4781.250000	-46.583271
4804.687500	-46.682816
4828.125000	-47.447189
4851.562500	-48.246792
4875.000000	-47.030334
4898.437500	-46.336681
4921.875000	-46.122986
4945.312500	-46.367599
4968.750000	-45.508408
4992.187500	-45.300972
5015.625000	-45.001701
5039.062500	-44.884121
5062.500000	-44.727760
5085.937500	-44.510048
5109.375000	-44.458744
5132.812500	-44.853527
5156.250000	-44.470409
5179.687500	-44.257317
5203.125000	-44.070354
5226.562500	-44.195568
5250.000000	-45.103657
5273.437500	-46.006069
5296.875000	-45.875153
5320.312500	-45.628822
5343.750000	-45.285995
5367.187500	-44.906429
5390.625000	-45.134373
5414.062500	-45.295891
5437.500000	-45.532986
5460.937500	-45.918953
5484.375000	-45.701794
5507.812500	-45.402397
5531.250000	-45.047527
5554.687500	-44.192707
