Frequency (Hz)	Level (dB)
21.533203	-40.043602
43.066406	-33.058289
64.599609	-29.754429
86.132812	-28.757832
107.666016	-29.050503
129.199219	-25.243853
150.732422	-23.229210
172.265625	-24.550396
193.798828	-26.939524
215.332031	-28.514273
236.865234	-28.647957
258.398438	-30.563072
279.931641	-31.708986
301.464844	-30.601381
322.998047	-27.817633
344.531250	-29.557871
366.064453	-31.982771
387.597656	-33.870872
409.130859	-35.806080
430.664062	-36.195366
452.197266	-36.165146
473.730469	-38.075279
495.263672	-38.276497
516.796875	-38.192909
538.330078	-38.542549
559.863281	-38.576965
581.396484	-39.859249
602.929688	-40.576550
624.462891	-39.927620
645.996094	-39.472500
667.529297	-41.404385
689.062500	-41.698040
710.595703	-41.748154
732.128906	-41.379280
753.662109	-41.395992
775.195312	-41.629059
796.728516	-41.518967
818.261719	-42.868492
839.794922	-43.167305
861.328125	-39.792610
882.861328	-36.045925
904.394531	-38.596649
925.927734	-41.031708
947.460938	-43.115639
968.994141	-42.221004
990.527344	-40.968189
1012.060547	-41.939865
1033.593750	-41.198963
1055.126953	-40.918613
1076.660156	-43.084942
1098.193359	-46.147430
1119.726562	-46.565495
1141.259766	-46.698631
1162.792969	-45.961536
1184.326172	-46.697895
1205.859375	-46.578476
1227.392578	-45.227966
1248.925781	-44.283665
1270.458984	-45.735176
1291.992188	-46.192005
1313.525391	-46.438274
1335.058594	-47.108185
1356.591797	-46.540531
1378.125000	-47.753540
1399.658203	-48.025475
1421.191406	-48.549274
1442.724609	-49.177067
1464.257812	-47.079494
1485.791016	-42.438782
1507.324219	-43.015411
1528.857422	-47.574299
1550.390625	-49.848499
1571.923828	-50.153885
1593.457031	-49.641052
1614.990234	-47.763008
1636.523438	-48.108871
1658.056641	-48.980007
1679.589844	-50.001991
1701.123047	-51.685307
1722.656250	-53.126244
1744.189453	-49.116867
1765.722656	-44.834751
1787.255859	-47.084217
1808.789062	-48.094234
1830.322266	-47.661884
1851.855469	-48.000732
1873.388672	-48.876255
1894.921875	-48.544506
1916.455078	-47.674244
1937.988281	-50.546112
1959.521484	-50.418182
1981.054688	-50.272549
2002.587891	-49.966053
2024.121094	-50.625397
2045.654297	-49.773220
2067.187500	-49.882122
2088.720703	-51.163929
2110.253906	-51.127350
2131.787109	-51.403561
2153.320312	-52.363136
2174.853516	-52.812607
2196.386719	-53.354721
2217.919922	-52.867962
2239.453125	-51.847717
2260.986328	-52.580029
2282.519531	-52.294479
2304.052734	-53.774242
2325.585938	-53.318966
2347.119141	-52.004135
2368.652344	-52.832970
2390.185547	-53.150185
2411.718750	-53.300194
2433.251953	-53.944145
2454.785156	-54.662460
2476.318359	-55.463932
2497.851562	-55.862141
2519.384766	-55.308048
2540.917969	-53.805733
2562.451172	-54.331116
2583.984375	-55.083443
2605.517578	-54.454403
2627.050781	-55.513824
2648.583984	-55.001354
2670.117188	-55.962563
2691.650391	-57.082726
2713.183594	-55.464581
2734.716797	-54.286152
2756.250000	-54.870106
2777.783203	-55.267273
2799.316406	-55.615276
2820.849609	-54.708412
2842.382812	-54.355934
2863.916016	-55.261261
2885.449219	-55.717560
2906.982422	-54.877182
2928.515625	-54.435051
2950.048828	-53.252647
2971.582031	-50.430969
2993.115234	-50.589375
3014.648438	-53.809624
3036.181641	-56.099186
3057.714844	-57.639709
3079.248047	-58.594856
3100.781250	-59.039295
3122.314453	-58.493877
3143.847656	-58.651516
3165.380859	-59.693275
3186.914062	-60.209229
3208.447266	-60.234974
3229.980469	-59.677498
3251.513672	-58.979000
3273.046875	-58.518745
3294.580078	-58.600712
3316.113281	-58.779343
3337.646484	-58.832630
3359.179688	-58.610107
3380.712891	-58.603832
3402.246094	-58.640278
3423.779297	-58.983692
3445.312500	-59.264217
3466.845703	-59.449444
3488.378906	-59.376957
3509.912109	-58.766182
3531.445312	-57.581146
3552.978516	-57.950867
3574.511719	-58.751060
3596.044922	-60.212368
3617.578125	-60.345608
3639.111328	-60.621593
3660.644531	-60.823437
3682.177734	-60.987492
3703.710938	-61.015617
3725.244141	-61.166000
3746.777344	-61.836323
3768.310547	-62.156670
3789.843750	-61.852676
3811.376953	-61.331120
3832.910156	-61.392166
3854.443359	-61.406864
3875.976562	-60.795574
3897.509766	-60.075394
3919.042969	-59.980007
3940.576172	-60.075409
3962.109375	-60.595390
3983.642578	-61.133652
4005.175781	-60.886459
4026.708984	-60.957920
4048.242188	-61.200195
4069.775391	-61.659691
4091.308594	-62.101074
4112.841797	-62.751743
4134.375000	-62.963638
4155.908203	-62.457413
4177.441406	-62.266479
4198.974609	-62.547054
4220.507812	-62.847958
4242.041016	-62.802814
4263.574219	-63.095604
4285.107422	-63.828480
4306.640625	-64.084618
4328.173828	-62.570713
4349.707031	-56.020321
4371.240234	-56.849693
4392.773438	-62.438057
4414.306641	-63.177124
4435.839844	-63.531898
4457.373047	-63.590202
4478.906250	-64.085342
4500.439453	-64.587440
4521.972656	-64.667252
4543.505859	-64.705849
4565.039062	-65.071457
4586.572266	-65.424393
4608.105469	-65.773537
4629.638672	-66.407326
4651.171875	-65.624847
4672.705078	-65.255135
4694.238281	-65.627640
4715.771484	-65.840904
4737.304688	-65.610252
4758.837891	-65.273041
4780.371094	-66.216537
4801.904297	-66.941582
4823.437500	-67.387138
4844.970703	-67.698051
4866.503906	-67.857193
4888.037109	-67.930397
4909.570312	-68.194252
4931.103516	-68.494804
4952.636719	-68.698685
4974.169922	-68.338005
4995.703125	-67.151016
5017.236328	-67.965599
5038.769531	-68.065186
5060.302734	-68.486275
5081.835938	-68.874504
