Frequency (Hz)	Level (dB)
21.533203	-39.112701
43.066406	-32.608242
64.599609	-28.093908
86.132812	-23.955204
107.666016	-20.169794
129.199219	-19.337328
150.732422	-20.553383
172.265625	-20.061157
193.798828	-21.217909
215.332031	-22.525780
236.865234	-21.243382
258.398438	-22.487684
279.931641	-25.453796
301.464844	-25.760904
322.998047	-25.324930
344.531250	-25.419167
366.064453	-25.249617
387.597656	-25.276346
409.130859	-25.250202
430.664062	-25.658840
452.197266	-25.693062
473.730469	-25.473864
495.263672	-25.684319
516.796875	-26.041897
538.330078	-26.557955
559.863281	-27.144726
581.396484	-27.170927
602.929688	-26.820797
624.462891	-26.855207
645.996094	-26.291237
667.529297	-26.459818
689.062500	-27.176243
710.595703	-27.415550
732.128906	-27.998880
753.662109	-28.562613
775.195312	-28.796541
796.728516	-28.616865
818.261719	-29.170290
839.794922	-29.627882
861.328125	-30.551149
882.861328	-30.719135
904.394531	-30.327291
925.927734	-30.748863
947.460938	-30.973116
968.994141	-28.423075
990.527344	-28.948975
1012.060547	-31.143707
1033.593750	-32.507698
1055.126953	-33.228779
1076.660156	-33.576538
1098.193359	-33.774403
1119.726562	-33.638268
1141.259766	-34.048923
1162.792969	-33.923462
1184.326172	-33.538372
1205.859375	-33.682278
1227.392578	-34.028362
1248.925781	-34.332726
1270.458984	-34.200172
1291.992188	-34.881462
1313.525391	-35.692753
1335.058594	-35.824295
1356.591797	-36.197556
1378.125000	-35.858086
1399.658203	-35.590637
1421.191406	-35.749153
1442.724609	-34.168499
1464.257812	-32.718510
1485.791016	-34.390968
1507.324219	-35.016308
1528.857422	-36.217831
1550.390625	-36.481224
1571.923828	-35.955956
1593.457031	-36.039921
1614.990234	-36.556660
1636.523438	-36.771572
1658.056641	-36.789589
1679.589844	-36.190144
1701.123047	-36.204185
1722.656250	-37.389202
1744.189453	-37.726673
1765.722656	-37.685196
1787.255859	-37.661888
1808.789062	-37.404385
1830.322266	-37.594471
1851.855469	-38.093773
1873.388672	-37.992622
1894.921875	-37.531269
1916.455078	-36.886108
1937.988281	-37.824928
1959.521484	-38.108292
1981.054688	-37.776176
2002.587891	-37.643139
2024.121094	-36.742214
2045.654297	-36.583950
2067.187500	-37.518360
2088.720703	-37.702686
2110.253906	-37.642097
2131.787109	-37.344063
2153.320312	-36.323566
2174.853516	-36.177631
2196.386719	-36.246265
2217.919922	-36.444683
2239.453125	-36.811329
2260.986328	-36.668846
2282.519531	-35.585823
2304.052734	-35.943829
2325.585938	-36.157833
2347.119141	-35.232353
2368.652344	-36.601498
2390.185547	-37.670898
2411.718750	-38.904789
2433.251953	-39.015499
2454.785156	-38.667374
2476.318359	-38.518124
2497.851562	-39.082897
2519.384766	-40.704189
2540.917969	-41.228905
2562.451172	-41.249409
2583.984375	-40.951168
2605.517578	-40.707905
2627.050781	-40.610893
2648.583984	-40.881775
2670.117188	-40.241261
2691.650391	-40.419949
2713.183594	-40.725872
2734.716797	-40.706390
2756.250000	-41.076649
2777.783203	-41.608902
2799.316406	-42.107410
2820.849609	-42.330505
2842.382812	-42.043652
2863.916016	-41.576965
2885.449219	-41.322918
2906.982422	-40.841431
2928.515625	-41.126991
2950.048828	-42.088428
2971.582031	-41.786644
2993.115234	-41.854168
3014.648438	-42.026142
3036.181641	-42.267700
3057.714844	-41.870377
3079.248047	-41.176399
3100.781250	-41.290478
3122.314453	-41.409241
3143.847656	-41.414528
3165.380859	-41.473480
3186.914062	-41.562714
3208.447266	-41.775372
3229.980469	-41.429916
3251.513672	-41.646252
3273.046875	-41.811459
3294.580078	-41.319389
3316.113281	-41.191250
3337.646484	-41.468857
3359.179688	-41.908665
3380.712891	-42.116341
3402.246094	-42.136734
3423.779297	-41.806568
3445.312500	-41.301674
3466.845703	-41.500561
3488.378906	-42.019955
3509.912109	-41.851620
3531.445312	-41.432789
3552.978516	-41.917946
3574.511719	-42.384182
3596.044922	-42.524860
3617.578125	-42.780338
3639.111328	-43.027500
3660.644531	-42.582211
3682.177734	-42.249290
3703.710938	-42.357269
3725.244141	-42.566132
3746.777344	-43.050793
3768.310547	-43.534985
3789.843750	-43.653282
3811.376953	-43.690998
3832.910156	-43.699768
3854.443359	-43.692833
3875.976562	-43.568089
3897.509766	-43.879688
3919.042969	-44.120975
3940.576172	-43.892532
3962.109375	-44.075253
3983.642578	-44.166645
4005.175781	-43.505135
4026.708984	-42.256573
4048.242188	-42.150017
4069.775391	-43.692165
4091.308594	-44.089558
4112.841797	-44.265842
4134.375000	-44.045776
4155.908203	-43.106918
4177.441406	-44.382214
4198.974609	-45.163807
4220.507812	-45.417068
4242.041016	-45.444687
4263.574219	-45.172115
4285.107422	-44.930267
4306.640625	-45.194466
4328.173828	-45.170586
4349.707031	-45.538269
4371.240234	-45.630413
4392.773438	-45.510559
4414.306641	-45.529568
4435.839844	-45.220196
4457.373047	-45.213455
4478.906250	-45.496292
4500.439453	-46.031197
4521.972656	-46.081882
4543.505859	-46.342823
4565.039062	-46.783691
4586.572266	-46.476749
4608.105469	-46.599586
4629.638672	-47.038605
4651.171875	-46.927547
4672.705078	-47.078819
4694.238281	-47.810005
4715.771484	-47.760624
4737.304688	-47.683712
4758.837891	-47.578197
4780.371094	-47.607311
4801.904297	-47.388683
4823.437500	-47.439957
4844.970703	-47.710228
4866.503906	-47.862385
4888.037109	-48.296543
4909.570312	-48.515350
4931.103516	-48.386101
4952.636719	-48.584846
4974.169922	-48.930603
4995.703125	-49.029350
5017.236328	-48.783855
5038.769531	-48.474594
5060.302734	-48.560307
5081.835938	-48.896343
5103.369141	-49.031567
5124.902344	-49.157532
5146.435547	-49.420319
5167.968750	-49.744114
5189.501953	-49.868301
5211.035156	-49.620335
5232.568359	-49.358219
5254.101562	-49.587101
5275.634766	-49.915390
5297.167969	-49.755680
5318.701172	-49.945770
5340.234375	-50.137653
5361.767578	-49.861279
5383.300781	-49.731689
5404.833984	-49.825352
5426.367188	-50.176811
5447.900391	-50.721127
5469.433594	-50.584797
5490.966797	-50.411098
5512.500000	-49.856632
5534.033203	-49.867317
5555.566406	-50.503712
5577.099609	-50.898434
5598.632812	-51.247562
5620.166016	-51.276985
5641.699219	-50.818924
5663.232422	-50.688271
5684.765625	-50.678001
5706.298828	-50.926029
5727.832031	-50.868935
5749.365234	-51.238873
5770.898438	-51.807461
5792.431641	-51.876575
5813.964844	-51.618641
5835.498047	-51.506599
5857.031250	-51.381100
5878.564453	-51.741070
5900.097656	-51.815567
5921.630859	-51.800442
5943.164062	-51.445885
5964.697266	-51.612709
5986.230469	-52.064117
6007.763672	-52.054676
6029.296875	-51.930481
6050.830078	-52.176865
6072.363281	-52.573067
6093.896484	-52.298645
6115.429688	-52.555542
6136.962891	-52.482204
6158.496094	-52.536339
6180.029297	-52.880535
6201.562500	-52.701061
6223.095703	-52.545162
6244.628906	-52.518677
6266.162109	-52.534653
6287.695312	-52.688869
6309.228516	-52.549999
6330.761719	-52.895821
6352.294922	-53.192905
6373.828125	-52.685444
6395.361328	-52.197636
6416.894531	-51.955475
6438.427734	-52.029705
6459.960938	-52.053024
6481.494141	-52.785160
6503.027344	-52.512890
6524.560547	-52.666649
6546.093750	-53.061047
6567.626953	-52.477249
6589.160156	-52.438538
6610.693359	-52.384769
6632.226562	-52.542507
6653.759766	-52.241856
6675.292969	-51.930004
6696.826172	-51.855904
6718.359375	-52.750992
6739.892578	-53.305172
6761.425781	-53.131798
6782.958984	-52.382942
6804.492188	-52.124313
6826.025391	-52.788628
6847.558594	-53.030537
6869.091797	-52.947601
6890.625000	-52.941013
6912.158203	-52.834522
6933.691406	-52.605022
6955.224609	-53.379452
6976.757812	-54.029232
6998.291016	-53.926502
7019.824219	-53.544224
7041.357422	-53.091583
7062.890625	-52.729420
7084.423828	-52.544128
7105.957031	-52.678486
7127.490234	-52.481339
7149.023438	-52.329121
7170.556641	-52.194035
7192.089844	-52.057095
7213.623047	-51.890694
7235.156250	-51.807537
7256.689453	-51.532581
7278.222656	-51.408218
7299.755859	-51.701694
7321.289062	-52.337940
7342.822266	-52.110935
7364.355469	-51.689144
7385.888672	-51.823990
7407.421875	-52.031349
7428.955078	-51.468040
7450.488281	-51.002773
7472.021484	-51.318386
7493.554688	-51.955074
7515.087891	-52.077915
7536.621094	-51.495358
7558.154297	-51.320988
7579.687500	-51.014137
7601.220703	-51.589203
7622.753906	-52.148029
7644.287109	-51.821564
7665.820312	-51.675705
7687.353516	-52.299400
7708.886719	-52.657749
7730.419922	-52.637890
7751.953125	-52.266621
7773.486328	-52.488457
7795.019531	-52.586681
7816.552734	-52.403378
7838.085938	-51.989700
7859.619141	-52.214813
7881.152344	-52.260098
7902.685547	-51.350422
7924.218750	-51.538731
7945.751953	-51.944672
7967.285156	-51.657669
7988.818359	-51.465809
8010.351562	-51.730560
8031.884766	-52.243340
8053.417969	-51.608173
8074.951172	-51.521011
8096.484375	-51.884941
8118.017578	-51.648914
8139.550781	-51.579052
8161.083984	-51.958790
8182.617188	-52.004383
8204.150391	-51.998901
8225.683594	-51.853386
8247.216797	-51.774960
8268.750000	-51.641415
8290.283203	-51.864742
8311.816406	-51.914497
8333.349609	-51.901878
8354.882812	-52.170250
