Frequency (Hz)	Level (dB)
21.533203	-23.675493
43.066406	-25.982473
64.599609	-26.160587
86.132812	-24.722986
107.666016	-23.683832
129.199219	-23.954508
150.732422	-23.870668
172.265625	-24.742064
193.798828	-27.008690
215.332031	-29.070009
236.865234	-28.458439
258.398438	-30.731457
279.931641	-29.873013
301.464844	-29.146461
322.998047	-30.029112
344.531250	-31.037783
366.064453	-31.437775
387.597656	-31.556896
409.130859	-31.773272
430.664062	-31.620726
452.197266	-32.128841
473.730469	-33.195358
495.263672	-32.782124
516.796875	-33.157131
538.330078	-32.279846
559.863281	-32.640339
581.396484	-34.004333
602.929688	-34.674522
624.462891	-34.059410
645.996094	-33.121647
667.529297	-33.948418
689.062500	-34.694027
710.595703	-34.867107
732.128906	-35.479851
753.662109	-34.396046
775.195312	-34.502136
796.728516	-35.709236
818.261719	-35.191666
839.794922	-34.948494
861.328125	-34.944500
882.861328	-33.882751
904.394531	-34.330330
925.927734	-36.172256
947.460938	-37.231121
968.994141	-37.326874
990.527344	-37.914135
1012.060547	-37.682537
1033.593750	-37.130447
1055.126953	-37.118820
1076.660156	-38.409023
1098.193359	-38.328625
1119.726562	-37.998699
1141.259766	-37.116898
1162.792969	-37.741463
1184.326172	-37.685944
1205.859375	-37.555855
1227.392578	-36.669025
1248.925781	-35.733505
1270.458984	-36.548489
1291.992188	-37.502216
1313.525391	-37.899071
1335.058594	-39.368908
1356.591797	-39.730812
1378.125000	-39.783920
1399.658203	-38.519714
1421.191406	-38.207405
1442.724609	-38.304169
1464.257812	-38.434334
1485.791016	-39.107658
1507.324219	-38.691776
1528.857422	-39.632923
1550.390625	-40.309708
1571.923828	-40.676502
1593.457031	-40.745872
1614.990234	-41.017132
1636.523438	-40.757305
1658.056641	-40.966824
1679.589844	-40.837940
1701.123047	-40.720753
1722.656250	-41.057095
1744.189453	-40.993587
1765.722656	-39.945564
1787.255859	-39.188004
1808.789062	-38.170959
1830.322266	-36.745499
1851.855469	-38.448078
1873.388672	-38.231449
1894.921875	-39.204643
1916.455078	-39.601852
1937.988281	-40.232025
1959.521484	-40.547203
1981.054688	-39.760971
2002.587891	-39.737408
2024.121094	-39.594280
2045.654297	-39.394966
2067.187500	-39.606834
2088.720703	-39.849873
2110.253906	-39.840561
2131.787109	-38.869335
2153.320312	-38.478672
2174.853516	-39.316990
2196.386719	-40.104893
2217.919922	-40.519772
2239.453125	-40.650906
2260.986328	-40.424393
2282.519531	-40.168606
2304.052734	-39.862446
2325.585938	-40.306442
2347.119141	-40.958317
2368.652344	-41.354897
2390.185547	-41.548920
2411.718750	-41.246525
2433.251953	-42.074852
2454.785156	-42.271763
2476.318359	-40.478947
2497.851562	-39.299374
2519.384766	-41.814526
2540.917969	-43.080837
2562.451172	-43.611103
2583.984375	-43.278809
