Frequency (Hz)	Level (dB)
21.533203	-29.599340
43.066406	-22.242554
64.599609	-18.688091
86.132812	-19.104477
107.666016	-19.870588
129.199219	-20.122591
150.732422	-19.532261
172.265625	-19.034485
193.798828	-18.330616
215.332031	-17.495609
236.865234	-16.221592
258.398438	-16.979389
279.931641	-18.946503
301.464844	-20.019320
322.998047	-20.983547
344.531250	-21.473721
366.064453	-21.585207
387.597656	-21.232264
409.130859	-20.336178
430.664062	-20.534134
452.197266	-21.283375
473.730469	-21.504242
495.263672	-21.728853
516.796875	-21.765268
538.330078	-21.657753
559.863281	-21.620527
581.396484	-23.169121
602.929688	-24.046600
624.462891	-23.685429
645.996094	-23.791449
667.529297	-24.552345
689.062500	-25.292250
710.595703	-25.534185
732.128906	-25.597828
753.662109	-25.843088
775.195312	-26.398344
796.728516	-27.241920
818.261719	-27.860050
839.794922	-27.282385
861.328125	-25.067635
882.861328	-25.442451
904.394531	-26.839249
925.927734	-25.832678
947.460938	-26.531363
968.994141	-28.416531
990.527344	-28.837555
1012.060547	-29.240721
1033.593750	-29.561829
1055.126953	-29.507767
1076.660156	-29.701046
1098.193359	-30.044291
1119.726562	-30.230597
1141.259766	-30.065187
1162.792969	-30.356218
1184.326172	-30.415880
1205.859375	-30.335697
1227.392578	-29.936981
1248.925781	-29.806211
1270.458984	-30.763132
1291.992188	-30.562000
1313.525391	-30.253767
1335.058594	-30.615032
1356.591797	-30.820217
1378.125000	-31.208735
1399.658203	-31.616657
1421.191406	-31.539719
1442.724609	-31.654032
1464.257812	-31.916897
1485.791016	-32.120686
1507.324219	-31.971672
1528.857422	-31.722507
1550.390625	-32.051838
1571.923828	-32.293999
1593.457031	-32.370499
1614.990234	-32.386253
1636.523438	-32.591888
1658.056641	-31.874050
1679.589844	-30.731895
1701.123047	-28.389561
1722.656250	-27.109802
1744.189453	-27.313793
1765.722656	-31.272312
1787.255859	-32.075005
1808.789062	-32.258331
1830.322266	-32.237411
1851.855469	-28.951199
1873.388672	-27.189735
1894.921875	-30.714930
1916.455078	-30.367163
1937.988281	-31.054890
1959.521484	-33.747814
1981.054688	-34.589268
2002.587891	-34.386818
2024.121094	-33.842728
2045.654297	-34.007744
2067.187500	-32.688927
2088.720703	-33.969429
2110.253906	-35.215946
2131.787109	-34.777836
2153.320312	-33.772160
2174.853516	-34.350185
2196.386719	-35.317486
2217.919922	-35.172623
2239.453125	-35.290020
2260.986328	-35.621048
2282.519531	-35.612041
2304.052734	-35.500965
2325.585938	-36.231453
2347.119141	-36.326962
2368.652344	-36.468361
2390.185547	-36.526478
2411.718750	-36.905460
2433.251953	-37.232624
2454.785156	-37.587147
2476.318359	-37.784431
2497.851562	-38.122082
2519.384766	-38.281803
2540.917969	-38.356136
2562.451172	-38.164711
2583.984375	-37.335194
2605.517578	-36.453186
