Frequency (Hz)	Level (dB)
21.533203	-39.410557
43.066406	-35.461578
64.599609	-33.143181
86.132812	-31.997349
107.666016	-32.156895
129.199219	-30.607298
150.732422	-29.293980
172.265625	-29.497713
193.798828	-30.730795
215.332031	-33.300060
236.865234	-32.885849
258.398438	-31.082855
279.931641	-29.820957
301.464844	-28.588257
322.998047	-29.624725
344.531250	-31.555719
366.064453	-31.429947
387.597656	-31.754774
409.130859	-31.972076
430.664062	-32.861698
452.197266	-33.023232
473.730469	-33.319229
495.263672	-34.408649
516.796875	-34.841991
538.330078	-34.742580
559.863281	-34.162552
581.396484	-34.661213
602.929688	-34.352554
624.462891	-33.522800
645.996094	-32.809334
667.529297	-32.601925
689.062500	-32.262497
710.595703	-32.740501
732.128906	-33.794544
753.662109	-33.962624
775.195312	-33.855614
796.728516	-35.262981
818.261719	-36.453594
839.794922	-37.047340
861.328125	-36.640476
882.861328	-36.721786
904.394531	-36.410336
925.927734	-35.518723
947.460938	-35.370667
968.994141	-36.983734
990.527344	-37.603260
1012.060547	-38.261665
1033.593750	-39.070755
1055.126953	-39.227768
1076.660156	-39.055378
1098.193359	-39.596828
1119.726562	-40.414265
1141.259766	-40.552719
1162.792969	-40.657661
1184.326172	-40.661381
1205.859375	-40.692524
1227.392578	-40.755943
1248.925781	-40.740498
1270.458984	-40.930519
1291.992188	-41.421486
1313.525391	-41.248177
1335.058594	-41.569023
1356.591797	-42.203594
1378.125000	-42.541733
1399.658203	-43.069439
1421.191406	-43.477604
1442.724609	-43.415245
1464.257812	-43.847668
1485.791016	-44.241734
1507.324219	-44.397514
1528.857422	-44.212879
1550.390625	-44.174026
1571.923828	-44.462006
1593.457031	-44.692898
1614.990234	-44.995399
1636.523438	-44.448330
1658.056641	-44.426029
1679.589844	-45.438801
1701.123047	-46.313679
1722.656250	-46.155590
1744.189453	-45.853909
1765.722656	-46.089504
1787.255859	-46.306934
1808.789062	-46.330383
1830.322266	-46.017410
1851.855469	-45.959373
1873.388672	-45.922009
1894.921875	-45.901394
1916.455078	-45.687119
1937.988281	-45.734547
1959.521484	-46.319515
1981.054688	-45.910927
2002.587891	-45.137405
2024.121094	-46.393963
2045.654297	-46.968838
2067.187500	-47.300034
2088.720703	-47.293541
2110.253906	-47.548111
2131.787109	-47.809196
2153.320312	-47.773178
2174.853516	-47.543827
2196.386719	-47.617744
2217.919922	-47.351879
2239.453125	-47.287903
2260.986328	-47.481056
2282.519531	-47.770359
2304.052734	-48.183144
2325.585938	-48.650772
2347.119141	-48.998356
2368.652344	-49.288837
2390.185547	-49.616741
2411.718750	-49.596539
2433.251953	-49.566284
2454.785156	-49.921051
2476.318359	-50.053829
2497.851562	-49.753494
2519.384766	-50.036705
2540.917969	-50.428688
2562.451172	-50.260250
2583.984375	-50.196453
2605.517578	-49.991447
2627.050781	-50.309093
2648.583984	-50.702583
2670.117188	-50.798557
2691.650391	-50.658360
2713.183594	-50.620514
2734.716797	-50.517517
2756.250000	-50.202847
2777.783203	-50.119362
2799.316406	-50.185444
2820.849609	-50.366852
2842.382812	-50.355186
2863.916016	-50.536720
2885.449219	-50.451920
2906.982422	-50.036739
2928.515625	-50.182076
2950.048828	-50.587997
2971.582031	-50.722755
2993.115234	-50.625446
3014.648438	-50.194633
3036.181641	-50.007927
3057.714844	-50.123993
3079.248047	-50.218338
3100.781250	-50.178993
3122.314453	-50.061672
3143.847656	-49.476234
3165.380859	-49.167789
3186.914062	-48.592007
3208.447266	-48.191483
3229.980469	-48.041718
3251.513672	-48.546940
3273.046875	-49.070625
3294.580078	-49.258144
3316.113281	-49.276165
3337.646484	-49.072559
3359.179688	-48.691181
3380.712891	-48.772373
3402.246094	-48.444115
3423.779297	-48.410755
3445.312500	-47.680275
3466.845703	-47.517109
3488.378906	-47.998837
3509.912109	-48.347469
3531.445312	-47.046268
3552.978516	-47.470207
3574.511719	-49.570660
3596.044922	-49.457462
3617.578125	-49.045147
3639.111328	-49.699924
3660.644531	-49.949711
3682.177734	-49.159840
3703.710938	-49.787605
3725.244141	-50.241222
3746.777344	-49.893730
3768.310547	-49.785973
3789.843750	-50.025135
3811.376953	-50.394623
3832.910156	-50.502602
3854.443359	-51.005917
3875.976562	-51.342781
3897.509766	-51.188160
3919.042969	-51.638824
3940.576172	-51.982182
3962.109375	-51.760109
3983.642578	-51.885822
4005.175781	-52.147541
4026.708984	-52.268734
4048.242188	-51.939232
4069.775391	-51.981110
4091.308594	-52.124260
4112.841797	-52.318012
4134.375000	-52.023674
4155.908203	-51.763836
4177.441406	-51.250511
4198.974609	-51.591583
4220.507812	-52.155392
4242.041016	-52.261738
4263.574219	-52.108021
4285.107422	-52.760620
4306.640625	-52.929203
4328.173828	-53.142227
4349.707031	-53.355671
4371.240234	-53.271355
4392.773438	-53.283352
4414.306641	-53.154697
4435.839844	-53.185020
4457.373047	-53.268768
4478.906250	-53.760616
4500.439453	-54.137123
4521.972656	-54.262749
4543.505859	-54.264118
4565.039062	-54.331463
4586.572266	-54.561394
4608.105469	-54.195816
4629.638672	-54.029610
4651.171875	-54.521084
4672.705078	-54.283775
4694.238281	-52.970043
4715.771484	-53.958149
4737.304688	-53.629894
4758.837891	-53.045177
4780.371094	-54.306324
4801.904297	-54.815521
4823.437500	-54.589298
4844.970703	-54.923885
4866.503906	-55.000633
4888.037109	-54.693882
4909.570312	-55.370708
4931.103516	-54.469055
4952.636719	-54.295158
4974.169922	-55.230213
4995.703125	-54.709019
5017.236328	-55.120556
5038.769531	-55.593174
5060.302734	-55.828037
5081.835938	-56.275871
5103.369141	-56.365170
5124.902344	-56.333755
5146.435547	-55.678551
5167.968750	-55.820473
5189.501953	-56.182396
5211.035156	-56.523804
5232.568359	-56.758503
5254.101562	-56.490028
5275.634766	-56.573582
5297.167969	-56.640747
5318.701172	-56.631107
5340.234375	-56.838280
5361.767578	-56.814873
5383.300781	-56.531815
5404.833984	-56.487087
5426.367188	-56.786903
5447.900391	-56.910660
5469.433594	-56.786301
5490.966797	-56.772034
5512.500000	-56.547398
5534.033203	-56.775204
5555.566406	-56.856022
5577.099609	-56.811367
5598.632812	-57.083126
5620.166016	-56.899586
5641.699219	-57.051250
5663.232422	-57.183407
5684.765625	-56.729393
5706.298828	-56.268753
5727.832031	-57.426060
5749.365234	-57.601292
5770.898438	-57.675102
