Frequency (Hz)	Level (dB)
21.533203	-39.996243
43.066406	-34.337749
64.599609	-35.393204
86.132812	-35.043262
107.666016	-29.097309
129.199219	-27.757851
150.732422	-29.302799
172.265625	-27.680265
193.798828	-29.760118
215.332031	-30.208120
236.865234	-31.718742
258.398438	-31.378927
279.931641	-29.789898
301.464844	-27.590816
322.998047	-27.420908
344.531250	-29.191460
366.064453	-29.326057
387.597656	-30.957861
409.130859	-31.919193
430.664062	-30.347483
452.197266	-30.235470
473.730469	-31.799671
495.263672	-32.609253
516.796875	-31.968618
538.330078	-30.711304
559.863281	-31.176989
581.396484	-30.440540
602.929688	-29.844624
624.462891	-30.650349
645.996094	-30.468821
667.529297	-30.129965
689.062500	-29.439333
710.595703	-27.428179
732.128906	-26.645731
753.662109	-27.943184
775.195312	-29.450480
796.728516	-30.268644
818.261719	-30.916800
839.794922	-30.504177
861.328125	-30.086967
882.861328	-29.580500
904.394531	-30.145514
925.927734	-30.893021
947.460938	-29.508760
968.994141	-27.515535
990.527344	-28.164062
1012.060547	-29.963936
1033.593750	-31.674456
1055.126953	-32.036678
1076.660156	-31.339638
1098.193359	-31.065268
1119.726562	-31.830326
1141.259766	-32.523087
1162.792969	-32.702026
1184.326172	-32.913227
1205.859375	-33.003479
1227.392578	-33.080860
1248.925781	-33.138454
1270.458984	-33.937561
1291.992188	-33.967785
1313.525391	-33.923553
1335.058594	-35.041492
1356.591797	-35.745708
1378.125000	-36.613338
1399.658203	-36.808228
1421.191406	-36.942966
1442.724609	-37.389191
1464.257812	-37.388744
1485.791016	-36.675343
1507.324219	-37.060780
1528.857422	-37.458496
1550.390625	-37.431988
1571.923828	-37.645123
1593.457031	-37.932938
1614.990234	-38.251179
1636.523438	-37.906921
1658.056641	-37.107628
1679.589844	-37.269768
1701.123047	-37.615437
1722.656250	-37.416698
1744.189453	-37.228962
1765.722656	-37.796314
1787.255859	-38.181656
1808.789062	-37.639057
1830.322266	-37.319221
1851.855469	-36.886608
1873.388672	-37.419930
1894.921875	-37.522930
1916.455078	-33.899319
1937.988281	-29.044840
1959.521484	-32.570583
1981.054688	-37.919765
2002.587891	-38.107769
2024.121094	-37.989403
2045.654297	-37.708786
2067.187500	-37.639992
2088.720703	-36.467728
2110.253906	-35.257275
2131.787109	-35.188160
2153.320312	-35.192993
2174.853516	-34.276436
2196.386719	-33.927032
2217.919922	-34.591274
2239.453125	-34.929489
2260.986328	-35.590763
2282.519531	-35.443077
2304.052734	-35.270332
2325.585938	-36.307671
2347.119141	-37.189789
2368.652344	-37.227127
2390.185547	-37.330521
2411.718750	-38.726986
2433.251953	-39.540607
2454.785156	-39.621227
2476.318359	-39.886597
2497.851562	-40.047215
2519.384766	-40.449295
2540.917969	-40.716759
2562.451172	-41.051682
2583.984375	-41.011662
2605.517578	-40.659271
2627.050781	-40.931171
2648.583984	-40.763721
2670.117188	-40.932568
2691.650391	-41.193508
2713.183594	-41.233990
2734.716797	-41.122696
2756.250000	-40.781418
2777.783203	-40.594650
2799.316406	-41.032742
2820.849609	-41.192497
2842.382812	-40.840252
2863.916016	-40.309216
2885.449219	-31.369404
2906.982422	-23.156624
2928.515625	-25.563009
2950.048828	-38.356964
2971.582031	-40.831142
2993.115234	-40.240208
3014.648438	-39.861111
3036.181641	-40.763767
3057.714844	-41.058388
3079.248047	-41.160255
3100.781250	-40.838928
3122.314453	-39.872520
3143.847656	-37.696266
3165.380859	-38.411106
3186.914062	-39.848995
3208.447266	-39.034096
3229.980469	-38.045460
3251.513672	-38.832573
3273.046875	-38.739796
3294.580078	-38.813076
3316.113281	-39.463982
3337.646484	-39.311287
3359.179688	-40.028683
3380.712891	-40.791130
3402.246094	-40.840496
3423.779297	-41.843834
3445.312500	-42.114689
3466.845703	-41.989017
3488.378906	-42.096752
3509.912109	-42.538254
3531.445312	-42.441551
3552.978516	-42.332924
3574.511719	-42.605957
3596.044922	-43.595325
3617.578125	-43.911602
3639.111328	-43.995831
3660.644531	-43.981812
3682.177734	-43.970898
3703.710938	-44.239910
3725.244141	-44.319584
3746.777344	-44.288441
3768.310547	-44.277264
3789.843750	-44.520756
3811.376953	-44.548294
3832.910156	-43.938763
3854.443359	-43.546532
3875.976562	-41.684898
3897.509766	-42.363125
3919.042969	-43.552700
3940.576172	-44.368366
3962.109375	-44.453018
3983.642578	-45.068100
4005.175781	-44.664799
4026.708984	-44.240353
4048.242188	-44.261333
4069.775391	-44.275848
4091.308594	-44.035645
4112.841797	-44.392773
4134.375000	-43.780674
4155.908203	-43.108917
4177.441406	-43.046150
4198.974609	-42.811199
4220.507812	-43.428047
4242.041016	-44.695488
4263.574219	-46.030697
4285.107422	-46.604427
4306.640625	-46.695374
4328.173828	-46.563461
4349.707031	-47.208408
4371.240234	-46.915482
4392.773438	-46.311153
4414.306641	-46.492744
4435.839844	-45.622192
4457.373047	-45.685333
4478.906250	-46.775368
4500.439453	-47.856232
4521.972656	-48.650627
