Frequency (Hz)	Level (dB)
21.533203	-35.599510
43.066406	-31.857302
64.599609	-31.585201
86.132812	-32.470482
107.666016	-32.467686
129.199219	-32.844284
150.732422	-33.615318
172.265625	-33.675583
193.798828	-33.769600
215.332031	-35.727810
236.865234	-36.443768
258.398438	-38.359314
279.931641	-39.259407
301.464844	-41.436695
322.998047	-41.975605
344.531250	-41.514454
366.064453	-42.239586
387.597656	-42.970959
409.130859	-44.361046
430.664062	-44.870140
452.197266	-44.912373
473.730469	-46.150330
495.263672	-46.086369
516.796875	-46.442879
538.330078	-47.131100
559.863281	-46.080856
581.396484	-45.911026
602.929688	-45.036579
624.462891	-45.516640
645.996094	-47.429661
667.529297	-46.643295
689.062500	-46.112537
710.595703	-46.133018
732.128906	-46.911568
753.662109	-47.672417
775.195312	-48.307434
796.728516	-49.178360
818.261719	-49.543591
839.794922	-49.560925
861.328125	-49.760277
882.861328	-50.162975
904.394531	-50.688267
925.927734	-49.954994
947.460938	-50.494286
968.994141	-51.234699
990.527344	-51.603153
1012.060547	-51.479816
1033.593750	-52.100746
1055.126953	-52.446339
1076.660156	-52.257488
1098.193359	-52.105000
1119.726562	-53.005211
1141.259766	-53.214020
1162.792969	-52.251934
1184.326172	-50.694824
1205.859375	-49.580070
1227.392578	-50.730484
1248.925781	-53.447372
1270.458984	-54.520462
1291.992188	-53.939365
1313.525391	-54.414249
1335.058594	-55.110119
1356.591797	-55.237896
1378.125000	-55.104618
1399.658203	-55.158871
1421.191406	-54.715702
1442.724609	-55.261696
1464.257812	-55.369907
1485.791016	-54.824734
1507.324219	-55.265533
1528.857422	-55.885170
1550.390625	-56.657951
1571.923828	-56.618423
1593.457031	-56.007004
1614.990234	-55.899242
1636.523438	-55.579987
1658.056641	-55.781471
1679.589844	-56.611221
1701.123047	-56.931763
1722.656250	-56.626526
1744.189453	-56.597752
1765.722656	-56.650715
1787.255859	-57.031250
1808.789062	-56.314018
1830.322266	-56.510960
1851.855469	-58.398125
1873.388672	-58.727051
1894.921875	-59.386070
1916.455078	-58.901073
1937.988281	-58.563671
1959.521484	-59.313862
1981.054688	-60.280441
2002.587891	-60.557232
2024.121094	-60.453449
2045.654297	-60.946243
2067.187500	-61.280910
2088.720703	-60.915260
2110.253906	-60.954945
2131.787109	-61.358208
2153.320312	-61.460121
2174.853516	-61.382599
2196.386719	-61.833763
2217.919922	-62.044617
2239.453125	-61.786526
2260.986328	-61.532627
2282.519531	-62.058277
2304.052734	-62.358871
2325.585938	-62.405285
2347.119141	-61.921597
2368.652344	-62.328396
2390.185547	-62.557331
2411.718750	-62.328930
2433.251953	-61.857372
2454.785156	-62.254894
2476.318359	-62.405476
2497.851562	-62.340755
2519.384766	-62.383274
2540.917969	-62.914829
2562.451172	-62.976978
2583.984375	-63.297253
2605.517578	-63.343700
2627.050781	-63.874035
2648.583984	-63.210056
2670.117188	-62.604008
2691.650391	-62.120735
2713.183594	-62.424305
2734.716797	-62.279667
2756.250000	-61.857807
2777.783203	-62.324482
2799.316406	-62.180725
2820.849609	-62.547440
2842.382812	-61.752789
2863.916016	-60.873142
2885.449219	-62.775917
2906.982422	-63.118927
2928.515625	-61.350613
2950.048828	-60.954891
2971.582031	-62.076862
2993.115234	-62.700336
3014.648438	-63.462383
3036.181641	-64.294647
3057.714844	-63.731293
3079.248047	-63.255535
3100.781250	-62.732162
3122.314453	-61.684402
3143.847656	-62.246925
3165.380859	-62.964062
3186.914062	-64.126503
3208.447266	-65.375618
3229.980469	-66.150612
3251.513672	-65.814751
3273.046875	-65.430832
3294.580078	-66.063080
3316.113281	-66.226654
3337.646484	-65.918579
3359.179688	-65.381683
3380.712891	-66.720970
3402.246094	-66.478958
3423.779297	-66.381821
3445.312500	-66.762352
3466.845703	-67.017509
3488.378906	-66.755943
3509.912109	-67.234238
3531.445312	-67.291931
3552.978516	-66.844780
3574.511719	-66.319939
3596.044922	-66.342773
3617.578125	-67.112679
3639.111328	-66.979095
3660.644531	-66.833374
3682.177734	-66.655678
3703.710938	-66.712540
3725.244141	-67.280304
3746.777344	-68.839485
3768.310547	-68.744148
3789.843750	-66.881241
3811.376953	-66.977829
3832.910156	-66.437126
3854.443359	-66.504250
3875.976562	-66.830666
3897.509766	-67.574181
3919.042969	-67.589340
3940.576172	-67.334763
3962.109375	-66.955559
3983.642578	-68.437317
4005.175781	-68.825745
4026.708984	-69.645950
4048.242188	-69.393539
4069.775391	-68.700928
4091.308594	-68.659546
4112.841797	-68.195740
4134.375000	-67.890121
4155.908203	-68.386200
4177.441406	-69.110313
4198.974609	-69.044006
4220.507812	-68.519409
4242.041016	-68.532562
4263.574219	-69.323189
4285.107422	-69.057068
4306.640625	-68.291122
4328.173828	-67.160995
4349.707031	-67.015274
4371.240234	-67.239815
4392.773438	-68.300217
4414.306641	-68.355293
4435.839844	-68.124458
4457.373047	-67.146622
4478.906250	-67.534378
4500.439453	-68.144600
4521.972656	-67.165855
4543.505859	-68.203491
4565.039062	-69.402473
4586.572266	-68.407982
4608.105469	-68.671448
4629.638672	-68.180664
4651.171875	-68.506142
4672.705078	-68.773468
4694.238281	-68.980980
4715.771484	-68.810440
4737.304688	-68.531349
4758.837891	-68.121223
4780.371094	-68.085037
4801.904297	-67.278694
4823.437500	-66.618988
4844.970703	-67.603348
4866.503906	-68.139717
4888.037109	-67.164993
4909.570312	-67.665565
4931.103516	-67.754761
4952.636719	-66.926453
4974.169922	-66.798477
4995.703125	-68.656967
5017.236328	-67.768250
5038.769531	-68.413727
5060.302734	-68.216698
5081.835938	-68.974892
5103.369141	-68.396721
5124.902344	-67.176559
5146.435547	-67.829399
5167.968750	-69.166733
5189.501953	-68.504974
5211.035156	-67.773743
5232.568359	-68.524864
5254.101562	-68.597633
5275.634766	-67.307068
5297.167969	-67.050125
5318.701172	-67.638565
5340.234375	-68.028252
5361.767578	-68.240372
5383.300781	-68.269669
5404.833984	-69.091492
5426.367188	-67.970169
5447.900391	-67.299835
5469.433594	-68.863113
5490.966797	-70.473007
