Frequency (Hz)	Level (dB)
21.533203	-39.874275
43.066406	-34.680531
64.599609	-32.746632
86.132812	-33.002296
107.666016	-30.710735
129.199219	-24.899473
150.732422	-25.897818
172.265625	-32.417099
193.798828	-32.312485
215.332031	-31.003553
236.865234	-31.529690
258.398438	-30.800665
279.931641	-31.345600
301.464844	-34.627453
322.998047	-35.579109
344.531250	-36.140068
366.064453	-35.907131
387.597656	-36.119221
409.130859	-36.513424
430.664062	-36.435425
452.197266	-36.174366
473.730469	-36.325897
495.263672	-36.452908
516.796875	-37.223438
538.330078	-37.470200
559.863281	-37.424854
581.396484	-36.636856
602.929688	-35.755497
624.462891	-36.835308
645.996094	-37.344154
667.529297	-37.210079
689.062500	-36.796539
710.595703	-37.349186
732.128906	-37.782852
753.662109	-37.201591
775.195312	-37.041199
796.728516	-36.878361
818.261719	-36.260605
839.794922	-36.146004
861.328125	-36.247242
882.861328	-35.675858
904.394531	-35.545536
925.927734	-36.580223
947.460938	-37.448257
968.994141	-37.352345
990.527344	-37.411491
1012.060547	-37.607437
1033.593750	-37.918049
1055.126953	-38.092396
1076.660156	-38.135838
1098.193359	-38.130184
1119.726562	-38.303085
1141.259766	-38.283627
1162.792969	-38.543182
1184.326172	-38.222878
1205.859375	-38.313267
1227.392578	-38.874676
1248.925781	-39.239925
1270.458984	-39.563694
1291.992188	-39.854275
1313.525391	-39.960636
1335.058594	-40.601669
1356.591797	-41.149513
1378.125000	-41.206028
1399.658203	-41.170090
1421.191406	-41.588066
1442.724609	-42.400585
1464.257812	-42.793804
1485.791016	-43.391949
1507.324219	-43.603874
1528.857422	-43.843521
1550.390625	-43.947113
1571.923828	-44.154682
1593.457031	-44.243237
1614.990234	-44.145710
1636.523438	-44.406990
1658.056641	-45.018280
1679.589844	-45.123257
1701.123047	-45.128464
1722.656250	-45.053734
1744.189453	-44.753189
1765.722656	-43.923389
1787.255859	-43.650486
1808.789062	-44.496597
1830.322266	-44.739254
1851.855469	-44.702530
1873.388672	-45.055595
1894.921875	-45.396046
1916.455078	-45.431271
1937.988281	-45.431278
1959.521484	-44.904339
1981.054688	-45.408787
2002.587891	-46.094418
2024.121094	-46.709187
2045.654297	-47.104176
2067.187500	-47.211071
2088.720703	-47.409145
2110.253906	-47.392838
2131.787109	-46.852890
2153.320312	-47.149593
2174.853516	-47.699833
2196.386719	-47.583225
2217.919922	-47.631821
2239.453125	-47.923561
2260.986328	-48.118164
2282.519531	-48.396538
2304.052734	-48.513618
2325.585938	-48.500496
2347.119141	-48.807022
2368.652344	-49.114994
2390.185547	-49.165539
2411.718750	-49.535172
2433.251953	-49.892826
2454.785156	-50.441410
2476.318359	-50.670063
2497.851562	-50.798386
2519.384766	-50.832199
2540.917969	-51.099693
2562.451172	-50.975121
2583.984375	-51.143345
2605.517578	-51.586437
2627.050781	-51.362755
2648.583984	-51.499985
2670.117188	-51.406345
2691.650391	-51.445019
2713.183594	-51.619907
2734.716797	-51.698513
2756.250000	-51.150444
2777.783203	-50.777206
2799.316406	-50.907013
2820.849609	-50.924679
2842.382812	-50.990852
2863.916016	-51.105118
2885.449219	-51.117073
2906.982422	-51.467758
2928.515625	-51.299492
2950.048828	-51.284126
2971.582031	-51.783878
2993.115234	-51.641933
3014.648438	-51.139126
3036.181641	-50.810764
3057.714844	-51.073040
3079.248047	-51.022945
3100.781250	-51.105602
3122.314453	-51.172642
3143.847656	-51.093376
3165.380859	-50.637489
3186.914062	-50.793800
3208.447266	-51.143536
3229.980469	-51.151894
3251.513672	-50.851063
3273.046875	-51.218304
3294.580078	-51.261227
3316.113281	-51.118816
3337.646484	-51.535728
3359.179688	-51.915680
3380.712891	-51.707836
3402.246094	-51.626431
3423.779297	-51.600845
3445.312500	-51.867031
3466.845703	-52.004871
3488.378906	-51.969131
3509.912109	-51.852943
3531.445312	-51.793556
3552.978516	-52.198105
3574.511719	-52.491989
3596.044922	-52.713345
3617.578125	-52.856518
3639.111328	-52.676136
3660.644531	-52.633354
3682.177734	-52.871986
3703.710938	-53.280411
3725.244141	-53.416901
3746.777344	-53.267982
3768.310547	-53.597225
3789.843750	-53.608170
3811.376953	-54.150841
3832.910156	-54.136711
3854.443359	-54.217415
3875.976562	-54.672295
3897.509766	-54.808060
3919.042969	-54.532665
3940.576172	-54.387360
3962.109375	-54.645638
